titulo,recomendado_por
Books written or recommended by Tony Robbins:,Tony Robbins
Principles for Success,Tony Robbins
Everything Is Figureoutable,Tony Robbins
Free to Focus: A Total Productivity System to Achieve More by Doing Less,Tony Robbins
Moonshots: Creating a World of Abundance,Tony Robbins
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tony Robbins
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Tony Robbins
Principles: Life and Work,Tony Robbins
Unlimited Power: The New Science of Personal Achievement,Tony Robbins
Unshakeable: Your Financial Freedom Playbook,Tony Robbins
Tools and Weapons: The Promise and the Peril of the Digital Age,Walter Isaacson
"The New Digital Age: Transforming Nations, Businesses, and Our Lives",Walter Isaacson
Frenemies: The Epic Disruption of the Ad Business (and Everything Else),Walter Isaacson
Present Shock: When Everything Happens Now,Walter Isaacson
Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins,Walter Isaacson
Rightful Heritage: Franklin D. Roosevelt and the Land of America,Walter Isaacson
"The Space Barons: Elon Musk, Jeff Bezos, and the Quest to Colonize the Cosmos",Walter Isaacson
In the Shadow of Statues: A White Southerner Confronts History,Walter Isaacson
The Soul of America: The Battle for Our Better Angels,Walter Isaacson
"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World With OKRs",Walter Isaacson
Books recommended by Naval Ravikant:,Naval Ravikant
Pre-Suasion: A Revolutionary Way to Influence and Persuade,Naval Ravikant
Seven Brief Lessons On Physics,Naval Ravikant
The Evolution of Everything: How New Ideas Emerge,Naval Ravikant
"Too Soon Old, Too Late Smart",Naval Ravikant
Mastering in the Core Teachings: The Buddha,Naval Ravikant
God’s Debris: A Thought Experiment,Naval Ravikant
Falling into Grace: Insights on the End of Suffering,Naval Ravikant
Genius: The Life and Science of Richard Feynman,Naval Ravikant
Perfectly Reasonable Deviations from the Beaten Track,Naval Ravikant
Love Yourself Like Your Life Depends on It,Naval Ravikant
Books recommended by Barack Obama:,Barack Obama
The Moment of Lift: How Empowering Women Changes the World,Barack Obama
The World as It Is: A Memoir of the Obama White House,Barack Obama
Why Liberalism Failed,Barack Obama
Warlight: A novel,Barack Obama
Things Fall Apart,Barack Obama
"The Return: Fathers, Sons and the Land in Between",Barack Obama
The New Geography of Jobs,Barack Obama
In the Shadow of Statues: A White Southerner Confronts History,Barack Obama
How Democracies Die,Barack Obama
A House for Mr. Biswas,Barack Obama
Books recommended by Bill Gates:,Bill Gates
Principles for Success,Bill Gates
Tools and Weapons: The Promise and the Peril of the Digital Age,Bill Gates
How To: Absurd Scientific Advice for Common Real-World Problems,Bill Gates
Upheaval: Turning Points for Nations in Crisis,Bill Gates
"Nine Pints: A Journey Through the Money, Medicine, and Mysteries of Blood",Bill Gates
Presidents of War,Bill Gates
The Future of Capitalism: Facing the New Anxieties,Bill Gates
The Moment of Lift: How Empowering Women Changes the World,Bill Gates
Books recommended by Elon Musk:,Elon Musk
"The New Digital Age: Transforming Nations, Businesses, and Our Lives",Elon Musk
If the Universe Is Teeming with Aliens WHERE IS EVERYBODY?: Fifty Solutions to the Fermi Paradox and the Problem of Extraterrestrial Life,Elon Musk
Deep Learning,Elon Musk
Merchants of Doubt,Elon Musk
Our Final Invention: Artificial Intelligence and the End of the Human Era,Elon Musk
The Culture,Elon Musk
The Hitchhiker’s Guide to the Galaxy,Elon Musk
My Inventions: The Autobiography of Nikola Tesla,Elon Musk
Howard Hughes: His Life and Madness,Elon Musk
Ignition!: An informal history of liquid rocket propellants,Elon Musk
Here are the books recommended by Jeff Bezos:,Jeff Bezos
Built to Last: Successful Habits of Visionary Companies,Jeff Bezos
Memos from the Chairman,Jeff Bezos
Sam Walton: Made in America,Jeff Bezos
The Mythical Man-Month: Essays on Software Engineering,Jeff Bezos
Good to Great: Why Some Companies Make the Leap and Others Don’t,Jeff Bezos
The Goal: A Process of Ongoing Improvement,Jeff Bezos
Lean Thinking: Banish Waste and Create Wealth in Your Corporation,Jeff Bezos
Data-Driven Marketing: The 15 Metrics Everyone in Marketing Should Know,Jeff Bezos
The Black Swan: The Impact of the Highly Improbable,Jeff Bezos
Creation: Life and How to Make It,Jeff Bezos
Books recommended by Warren Buffett:,Warren Buffett
The Moment of Lift: How Empowering Women Changes the World,Warren Buffett
Firefighting: The Financial Crisis and Its Lessons,Warren Buffett
Mastering the Market Cycle: Getting the Odds on Your Side,Warren Buffett
The Essays of Warren Buffett: Lessons for Corporate America,Warren Buffett
Nuclear Terrorism,Warren Buffett
Take on the Street: How to Fight for Your Financial Future,Warren Buffett
First a Dream,Warren Buffett
DREAM BIG,Warren Buffett
The Most Important Thing Illuminated: Uncommon Sense for the Thoughtful Investor,Warren Buffett
Poor Charlie’s Almanack: The Wit and Wisdom of Charles T. Munger,Warren Buffett
The Planet Remade: How Geoengineering Could Change the World,The Ceo Library Community Through Anonymous Form
Schopenhauer: The World as Will and Representation,The Ceo Library Community Through Anonymous Form
That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,The Ceo Library Community Through Anonymous Form
Without a Trace: 1881-1968: How Can an Aircraft Simply Disappear?,The Ceo Library Community Through Anonymous Form
"Fanatical Prospecting: The Ultimate Guide to Opening Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, Email, Text, and Cold Calling",The Ceo Library Community Through Anonymous Form
Liao-Fan’s Four Lessons,The Ceo Library Community Through Anonymous Form
Life Is A Highway – A Roadmap For your journey,The Ceo Library Community Through Anonymous Form
My Life: An Illustrated Autobiography,The Ceo Library Community Through Anonymous Form
The 5 AM Club: Own Your Morning. Elevate Your Life.,The Ceo Library Community Through Anonymous Form
The Magic (Secret),The Ceo Library Community Through Anonymous Form
